part_num,name,part_cat_id,part_material_id
004285,Sticker Sheet for Set 725-2,58,1
004590,Sticker Sheet for Set 182-1,58,1
004591,Sticker Sheet 1 for Set 1650-1,58,1
004602,Sticker Sheet 2 for Set 1650-1,58,1
004632,Sticker Sheet for Sets 369-1 and 575-2,58,1
0687b1,Set 0687 Activity Booklet 1,17,1
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,1,1
0902,Baseplate 16 x 24 with Set 080 Small White House Print,1,1
0903,Baseplate 16 x 24 with Set 080 Red House Print,1,1
0904,Baseplate 16 x 24 with Set 080 Large White House Print,1,1
1,Homemaker Bookcase 2 x 4 x 4,7,1
10,Baseplate 24 x 32,1,1
10000,Duplo Animal Brick 2 x 2 Elephant Head,4,1
10010492,Sticker Sheet for Set 4203-1,58,1
10016414,Sticker Sheet #1 for 41055-1,58,1
10039,Pullback Motor 8 x 4 x 2/3,44,1
10048,Minifig Hair Tousled,65,1
10049,Minifig Shield Broad with Spiked Bottom and Cutout Corner,27,1
10049pr0001,Minifig Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print,27,1
10050,Weapon Sword (Uruk-hai),27,1
10051,Minifig Helmet Castle with Lateral Comb [Uruk-hai],65,1
10051pr01,Minifig Helmet Castle with Lateral Comb and Handprint Print,65,1
10052,"Minifig Neckwear Beard, Rounded End [Gandalf]",27,1
10053,Weapon Sword Small,27,1
10054,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style),65,1
10054pr0001,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Eomer Print,65,1
10054pr0002,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Theoden Print,65,1
10055pr0001,Minifig Hair Long Straight with Light Flesh Elf Ears Print,65,1
10056,Minifig Helmet Castle with Cheek Protection [Plain],24,1
10056pr0001,Minifig Helmet with Cheek Protection and Dark Red Ornaments Print,65,1
10057,Body / Head Gollum,13,1
10057pr0001,Body / Head Gollum - Wide Eyes,13,1
10057pr0002,Body / Head Gollum - Narrow Eyes,13,1
10058,"Arm, Bent [Gollum]",60,1
10061,"Arm Goblin King, Left",60,1
10062,"Hand Cave Troll, Left",60,1
10063,"Arm Goblin King, Right",60,1
10064,"Hand Cave Troll, Right",60,1
10065,"Minifig Neckwear Beard, Full with Braided Moustache Ends",27,1
10066,Minifig Hair Orc [Plain],24,1
10066pr0001,Minifig Hair Orc with Dark Tan Ears Print,65,1
10066pr0002,Minifig Hair Orc with Olive Green Ears Print,65,1
10066pr0003,Minifig Hair Orc with Medium Dark Flesh Ears Print,65,1
10075cdb01,"Paper, Cardboard Backdrop for Set 10075 Spider-Man Action Pack",17,5
100954456,Sticker Sheet for Set 3184-1,58,1
10095457,Sticker Sheet for Set 3186-1,58,1
10099434,Sticker Sheet for Set 3063-1,58,1
10099435,Sticker Sheet for Set 3185-1,58,1
10111apr0006,"Duplo Figure with Headset and Cap Yellow, and Fireman Overalls Print",57,1
10111pr0001,"Duplo Figure with Headset and Cap Black, with Dark Blue Legs, Badge Print, Black Arms, Light Flesh Hands (Police)",57,1
10111pr0002,"Duplo Figure with Headset and Cap Yellow, with Dark Blue Arms, and Legs, Yellow Knee Pads Print, and Yellow Vest with ID Badge and Radio Print",57,1
10111pr0005c01,"Duplo Figure with Headset and Cap Yellow, with Brown Vest with Zippers over Black Shirt, and Blue Legs",57,1
10111pr0005c02,"Duplo Figure with Headset and Cap Black, with Reddish Brown Top with ID Badge Print, Light Flesh Face and Hands, and Blue Legs",57,1
10111pr0007,"Duplo Figure with Headset and Cap Yellow, with White Race Suit with Red Sleeves and Octan Logo Print, Light Flesh Face and Hands, and White Legs",57,1
10111pr0033,"Duplo Figure with Headset and Cap Yellow, with Orange Vest over Green Shirt with Red Sleeves, Light Flesh Face and Hands, and Blue Legs",57,1
10111pr0075,"Duplo Figure with Headset and Cap Yellow, with Medium Azure Arms, Yellow Vest with Orange Stripes, and Black Legs",57,1
10111pr0093,"Duplo Figure with Headset and Cap Yellow, with Medium Azure Legs and Arms, Jacket with Pockets and Zipper Print",57,1
10113,Minifig Mask Batman Cowl,65,1
10113pr0001,Minifig Mask Batman Cowl with Silver Bat Mask Around Eyes Print,65,1
10113pr0002,Minifig Mask Batman Cowl with Black Stitched Seams Print,65,1
10113pr0004,"Minifig Mask Batman Cowl with Silver Stars, Dots print",65,1
1011A,Modulex Tile 1 x 1 with No Lining,66,1
1011Apr0030,Modulex Tile 1 x 1 with Black '0' Print with No Lining,66,1
1011Apr0031,Modulex Tile 1 x 1 with Black '1' Print with No Lining,66,1
1011Apr0032,Modulex Tile 1 x 1 with Black '2' Print with No Lining,66,1
1011Apr0033,Modulex Tile 1 x 1 with Black '3' Print with No Lining,66,1
1011Apr0034,Modulex Tile 1 x 1 with Black '4' Print with No Lining,66,1
1011Apr0035,Modulex Tile 1 x 1 with Black '5' Print with No Lining,66,1
1011Apr0036,Modulex Tile 1 x 1 with Black '6' Print with No Lining,66,1
1011Apr0037,Modulex Tile 1 x 1 with Black '7' Print with No Lining,66,1
1011Apr0038,Modulex Tile 1 x 1 with Black '8' Print with No Lining,66,1
1011Apr0039,Modulex Tile 1 x 1 with Black '9' Print with No Lining,66,1
1011B,Modulex Tile 1 x 1 with Black Lining on and Sides Only,66,1
1011C,Modulex Tile 1 x 1 with Black Lining on Top and Sides,66,1
1011Cpr0001,Modulex Tile 1 x 1 with A print - Black Lining on Top and Sides,66,1
1011Cpr0002,Modulex Tile 1 x 1 with B print - Black Lining on Top and Sides,66,1
1011Cpr0003,Modulex Tile 1 x 1 with C print - Black Lining on Top and Sides,66,1
1011Cpr0004,Modulex Tile 1 x 1 with D print - Black Lining on Top and Sides,66,1
1011Cpr0005,Modulex Tile 1 x 1 with E print - Black Lining on Top and Sides,66,1
1011Cpr0006,Modulex Tile 1 x 1 with F print - Black Lining on Top and Sides,66,1
1011Cpr0007,Modulex Tile 1 x 1 with G print - Black Lining on Top and Sides,66,1
1011Cpr0008,Modulex Tile 1 x 1 with H print - Black Lining on Top and Sides,66,1
1011Cpr0009,Modulex Tile 1 x 1 with I print - Black Lining on Top and Sides,66,1
1011Cpr0010,Modulex Tile 1 x 1 with J print - Black Lining on Top and Sides,66,1
1011Cpr0011,Modulex Tile 1 x 1 with K print - Black Lining on Top and Sides,66,1
1011Cpr0012,Modulex Tile 1 x 1 with L print - Black Lining on Top and Sides,66,1
1011Cpr0013,Modulex Tile 1 x 1 with M print - Black Lining on Top and Sides,66,1
1011Cpr0014,Modulex Tile 1 x 1 with N print - Black Lining on Top and Sides,66,1
1011Cpr0015,Modulex Tile 1 x 1 with O print - Black Lining on Top and Sides,66,1
1011Cpr0016,Modulex Tile 1 x 1 with P print - Black Lining on Top and Sides,66,1
1011Cpr0017,Modulex Tile 1 x 1 with Q print - Black Lining on Top and Sides,66,1
1011Cpr0018,Modulex Tile 1 x 1 with R print - Black Lining on Top and Sides,66,1
1011Cpr0019,Modulex Tile 1 x 1 with S print - Black Lining on Top and Sides,66,1
1011Cpr0020,Modulex Tile 1 x 1 with T print - Black Lining on Top and Sides,66,1
1011Cpr0021,Modulex Tile 1 x 1 with U print - Black Lining on Top and Sides,66,1
1011Cpr0022,Modulex Tile 1 x 1 with V print - Black Lining on Top and Sides,66,1
1011Cpr0023,Modulex Tile 1 x 1 with X print - Black Lining on Top and Sides,66,1
1011Cpr0024,Modulex Tile 1 x 1 with Y print - Black Lining on Top and Sides,66,1
1011Cpr0025,Modulex Tile 1 x 1 with Z print - Black Lining on Top and Sides,66,1
1011Cpr0027,Modulex Tile 1 x 1 with Å print - Black Lining on Top and Sides,66,1
1011Cpr0028,Modulex Tile 1 x 1 with Ä print - Black Lining on Top and Sides,66,1
1011Cpr0029,Modulex Tile 1 x 1 with Ö print - Black Lining on Top and Sides,66,1
1011D,Modulex Tile 1 x 1 with Slot for Line,66,1
10124,"Arm Giant, Right",60,1
10124pr0001,"Arm Giant, Right with Blue Darkseid Print",60,1
10124pr0002,"Arm Giant, Right with Black Hawaiian Tattoos (Maui) Print",60,1
10124pr0011,"Arm Giant, Right with Pearl Gold Armour print",60,1
10126,Hand Hulk - Right,60,1
10127,Hand Hulk - Left,60,1
10128pr0001,"Body Giant, Hulk with Dark Tan Pants Print",13,1
10128pr0002,"Body Giant, Hulk with Dark Purple Pants Print",13,1
10128pr0003,"Body Giant, Hulk with Magenta Pants Print",13,1
10129stk01,Sticker for Set 10129 - (48074/4214068),58,1
1012A,Modulex Tile 2 x 12 without Internal Supports,66,1
10134stk01,Sticker for Set 10134 - (48981/4221407),58,1
10154,"Arm Giant, Left",60,1
10154pr0001,"Arm Giant, Left with Blue Darkseid Print",60,1
10154pr0002,"Arm Giant, Left with Black Hawaiian Tattoos Print (Maui)",60,1
10154pr0006,"Arm Giant, Left with Killow print",60,1
10154pr0011,"Arm Giant, Left with Pearl Gold Armour print",60,1
10164,"Minifig Cap, Santa [Plain]",24,1
10164pr0001,Minifig Santa Hat with Red Top Print,65,1
10165c01,Minifig Helmet Underwater Deep Diver with Trans-Clear Glass,65,1
10166pr0001,Minifig Hair Short Tousled with Headphones Silver Print,65,1
10166pr0003,Minifig Hair Short Tousled with Headphones Black Print,65,1
10166pr0004,Minifig Hair Short Tousled with Headphones Dark Tan Print,65,1
10168pb01,Minifig Hat - Cowboy with Star and Medium Dark Flesh Braid Print,65,1
10169,Bag / Sack with Handle,27,1
10169pr0001,Bag / Sack with Handle and '$' / Dollar Sign Print,27,1
10170,Food Pretzel,27,1
10172,Equipment Trophy Cup Small,27,1
10172pr0001,Equipment Trophy Cup Small with Black Terrier Dog Print,27,1
10173,Minifig Ghost Shroud with Open Mouth,65,1
10177,RIGHT MINI FIGURE ROBOT LEG,13,1
10178,Rock 1 x 2 Crystal Stepped,33,1
10178pr0001a,Rock Stepped with Dark Green Swamp Gas Print,33,1
10178pr0001b,Rock 1 x 2 Crystal Stepped with Mosquito Print,33,1
10178pr0002,Rock Stepped with Gold Egyptian Eye of Horus Print,33,1
10178pr0003,Rock Stepped with Black Wolf Print [aka Moonstone],33,1
10178pr0004,Rock Stepped with Black Bat Print,33,1
10178pr0005,Rock Stepped with Black Zombie Print,33,1
10178pr0006,Rock Stepped with White Lightning Print,33,1
10178pr0007,Rock 1 x 2 Crystal Stepped with White Ghost Moonstone Print,33,1
10179cert,"Paper, Certificate of Authenticity for Set 10179 Limited Edition",17,5
10183,Minifig Neckwear Wings Fairy,27,1
10183pr0001,Minifig Neckwear Wings Fairy with Black Lines Print,27,1
10187,Weapon Bladed Claw Spread,27,1
10190,Minifig Footwear Flipper [Thick],27,1
10192stk01,Sticker for Set 10192 - (10192/4528138),58,1
10193,"Duplo Figure with Bright Light Yellow Hair with Bright Light Blue Headband, Light Flesh Arms, White Legs, Azure Design Print (Cinderella)",57,1
10197,Technic Pin Connector Hub with 2 Perpendicular Axles,12,1
10201,Bracket 1 x 2 - 1 x 4 [Rounded Corners],9,1
10202,Tile 6 x 6 with Bottom Tubes,19,1
10202pr0002,Tile 6 x 6 with Bottom Tubes with Bus Half and 'TIME' Print,19,1
10202pr0003,Tile 6 x 6 with Bottom Tubes with Bus Half and 'IT'S FRITTER' Print,19,1
10202pr0004,"Tile 6 x 6 with Bottom Tubes with Incredibles '18% Approval Raring', Red Arrow print",19,1
10202pr0005,Tile 6 x 6 with Bottom Tubes with Roof Tiles print,19,1
10212stk01,Sticker for Set 10212 - (88529/4568123),58,1
10218,Cardboard Game Board - Life of George,17,5
10219stk01,Sticker for Set 10219,58,1
1021A,Modulex Tile 1 x 2 without Internal Support,66,1
1021Apr0001,"Modulex Tile 1 x 2 with White ',' print",66,1
1021Apr0002,Modulex Tile 1 x 2 with White '/' print,66,1
1021Apr0003,Modulex Tile 1 x 2 with White '.' print,66,1
1021Apr0004,Modulex Tile 1 x 2 with White ':' print,66,1
1021Apr0005,Modulex Tile 1 x 2 with White '(' or ')' print,66,1
1021Apr0068,Modulex Tile 1 x 2 with 2 White Stars on Red print,66,1
1021Apr0082,"Modulex Tile 1 x 2 with Black ""!"" Exclamation Point print",66,1
1021Apr0180,Modulex Tile 1 x 2 with Black 'A1' print,66,1
1021B,Modulex Tile 1 x 2 with Internal Supports,66,1
1021Bpr0011,"Modulex Tile 1 x 2 with Black ""/"" print",66,1
10220stk01,Sticker for Set 10220 - Sheet 1 (94347/4614415),58,1
10227,"Minifig Head Cover, Swamp Creature with Eye Holes, Fins and Spikes",65,1
1022A,Modulex Tile 2 x 2 without Internal Supports,66,1
