part_num,name,part_cat_id,part_material_id
004285,Sticker Sheet for Set 725-2,58,1
004590,Sticker Sheet for Set 182-1,58,1
004591,Sticker Sheet 1 for Set 1650-1,58,1
004602,Sticker Sheet 2 for Set 1650-1,58,1
004632,Sticker Sheet for Sets 369-1 and 575-2,58,1
0687b1,Set 0687 Activity Booklet 1,17,1
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,1,1
0902,Baseplate 16 x 24 with Set 080 Small White House Print,1,1
0903,Baseplate 16 x 24 with Set 080 Red House Print,1,1
0904,Baseplate 16 x 24 with Set 080 Large White House Print,1,1
1,Homemaker Bookcase 2 x 4 x 4,7,1
10,Baseplate 24 x 32,1,1
10000,Duplo Animal Brick 2 x 2 Elephant Head,4,1
10010492,Sticker Sheet for Set 4203-1,58,1
